Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
YAN,YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,1.387,4.612,5.668,9.539,11.366,12.044,14.981,13.985,17.056,16.671,15.327
YHS,YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.334,12.504,12.662,16.319,23.508,20.402,28.789,30.625,40.433,36.635,34.121
YOT,YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU,0.596,3.015,4.818,5.457,5.958,5.296,6.693,6.578,6.348,5.982,6.488
YJK,YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,2.159,3.193,2.159,7.987,6.683,9.867,14.028,10.786,12.193,10.601,6.0
YLO,YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON,2.449,4.671,3.038,9.036,10.866,12.758,18.396,14.612,17.951,14.717,10.378
YGM,YAPI KREDİ PORTFÖY EMTİA SERBEST FON,-0.285,0.574,-0.285,0.095,3.854,4.577,2.337,0.0,3.751,4.473,1.644
YBE,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,1.581,3.213,3.006,4.684,6.198,9.595,9.362,9.362,9.362,10.538,10.538
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,2.639,3.046,-0.892,1.699,-4.069,0.129,4.57,0.129,2.91,2.639,-5.468
YPK,YAPI KREDİ PORTFÖY GALATA SERBEST FON,1.372,2.299,2.809,3.708,3.9,4.399,4.762,5.241,6.269,6.645,6.907
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,7.201,8.971,6.969,11.361,18.634,21.101,23.982,13.597,20.0,22.072,20.0
YAC,YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,1.599,4.902,5.925,10.192,11.924,12.749,15.622,14.373,17.933,17.63,16.207
YDI,YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.651,12.5,14.407,18.421,25.0,21.622,33.663,36.364,53.409,48.352,46.739
YPC,YAPI KREDİ PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,2.54,7.549,8.707,13.178,13.283,13.923,20.979,20.139,25.362,21.831,17.916
YKS,YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,1.087,6.897,6.897,9.412,13.415,12.048,17.722,19.231,25.676,22.368,22.368
YUN,YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON,1.509,1.509,1.509,1.509,2.948,2.948,2.948,2.948,2.948,NaN,NaN
YZK,YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON,2.232,5.221,5.309,9.142,11.559,13.264,13.417,11.956,13.52,14.656,14.552
YSL,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YUB,YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),4.714,13.535,16.815,22.059,32.856,28.63,39.434,42.329,60.918,58.333,55.369
YAK,YAPI KREDİ PORTFÖY KARMA FON,1.574,6.314,7.495,9.78,12.491,11.922,14.571,14.911,16.729,15.856,15.339
YLY,YAPI KREDİ PORTFÖY KİLYOS KAR PAYI ÖDEYEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.0,3.333,3.333,3.333,3.333,3.333,3.333,6.897,6.897,6.897,6.897
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),1.044,11.199,16.049,20.326,31.245,29.175,35.627,35.835,48.163,46.41,43.644
YMD,YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YNK,YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.0,0.0,0.0,2.778,2.778,2.778,2.778,2.778,2.778,2.778,2.778
YVG,YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON,1.973,3.178,4.555,10.93,8.724,13.797,14.439,14.058,14.261,15.797,13.882
YTV,YAPI KREDİ PORTFÖY TARIM DEĞİŞKEN FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YJH,YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FONU,0.92,2.993,5.85,16.379,17.785,23.766,28.009,22.556,21.96,18.182,9.962
