Fund Code,Fund Name,1 Week Return,2 Week Return,3 Week Return,4 Week Return,5 Week Return,6 Week Return,7 Week Return,8 Week Return,9 Week Return,10 Week Return,11 Week Return,12 Week Return,13 Week Return,14 Week Return,15 Week Return,16 Week Return,17 Week Return,18 Week Return,19 Week Return,20 Week Return,21 Week Return,22 Week Return,23 Week Return,24 Week Return,25 Week Return,26 Week Return
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,0.5878,3.4543,4.9648,6.6636,5.0184,9.2904,11.6953,15.154,16.3368,19.6357,23.1994,27.5736,28.6932,36.975,35.2348,31.7005,32.3236,30.7433,33.3559,29.6397,29.412,30.3141,36.5819,36.7185,31.3129,28.5719
YPK,YAPI KREDİ PORTFÖY GALATA SERBEST FON,0.4651,1.2792,2.0584,2.8899,3.7111,5.3574,6.0614,7.0464,7.6005,8.1801,9.0219,9.852,10.527,11.6455,12.3597,13.1531,14.0404,14.8955,16.9019,17.7977,15.8283,17.4771,17.9659,16.6013,16.7531,18.325
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,1.2404,1.9556,0.1574,1.0968,-0.0572,-1.1929,0.7139,3.8207,-3.8739,0.8285,2.8368,9.2011,6.3272,7.9432,6.2206,10.7471,17.229,11.7389,8.9767,11.1405,12.0244,7.1274,8.6157,12.3631,12.2651,8.732
YAC,YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,1.0031,2.8565,3.3402,5.9627,6.0866,7.1824,6.0058,8.1913,7.754,8.9764,10.422,12.8505,13.8967,15.5643,16.4334,12.6902,12.5453,12.4316,15.334,15.4543,13.7557,14.8144,18.1655,18.0791,16.9598,17.6666
YDI,YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.112,8.05,8.1403,12.9874,14.9406,14.613,11.7976,12.9869,13.7077,13.7149,15.1989,16.0927,18.2986,18.3608,21.9494,14.4368,8.786,10.4911,14.9636,17.1802,11.4633,14.5595,19.7891,21.4141,18.9773,27.0797
YPC,YAPI KREDİ PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,1.1038,3.1873,2.8507,6.3809,6.4044,7.387,6.3904,9.3221,10.8741,11.7239,12.8613,15.2953,14.6144,19.6504,18.2009,12.969,14.0817,13.2215,14.6533,12.8725,12.4465,11.7985,17.3249,16.8729,13.2063,12.4909
YKS,YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,0.6492,2.0051,1.5617,2.3805,2.5951,4.5687,1.4249,4.2995,5.1682,5.3467,6.3214,7.4536,7.9224,8.8324,9.7507,7.2551,6.902,5.9166,7.5657,7.8911,6.4717,7.4519,9.4381,8.7274,6.6834,7.589
YUN,YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON,0.3255,1.0855,1.5644,nan,nan,-0.3614,-0.3614,-0.3614,-0.3614,2.0835,2.0835,2.0835,2.0835,5.7488,5.7488,5.7488,5.7488,5.7488,8.6882,8.6882,8.6882,8.6882,8.052,8.052,8.052,8.052
YZK,YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON,0.8791,1.507,1.1219,2.3426,2.4716,4.3269,5.286,7.406,8.5036,9.2755,9.9907,11.8578,11.9799,14.5561,15.7107,15.3833,17.3202,16.2823,17.1626,17.5865,17.6501,17.8505,18.7736,17.3449,17.0317,17.4236
YSL,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON,0.2654,0.9202,1.149,2.1961,-0.71,0.3826,1.0244,2.5236,2.9647,3.5174,4.2472,5.6253,5.9497,7.6532,8.5624,9.4269,10.5894,10.6171,11.6647,12.3918,12.6073,13.2844,14.6898,12.7593,12.6518,12.992
