Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.017,11.415,17.939,24.103,25.771,26.874,22.385,15.206,12.597,14.874,18.378,28.306,84.144,82.245,74.452,61.032,50.949,57.681,60.060,60.545,52.981,56.749,66.771,60.870,72.935,None
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,2.810,4.466,6.057,9.307,10.706,9.056,9.938,8.848,9.056,8.807,10.835,9.811,11.922,12.053,11.094,9.015,7.293,9.981,None,17.111,16.680,19.364,25.011,33.178,None,42.202
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),4.623,9.653,11.482,14.075,11.608,6.904,5.109,4.922,3.848,5.486,5.410,7.805,9.613,11.187,8.842,-1.966,-4.666,0.170,4.068,0.650,-1.308,1.134,5.184,1.799,5.980,4.215
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.854,9.891,12.552,16.089,18.671,20.089,21.268,19.359,19.856,17.001,18.704,15.561,19.657,20.056,17.637,14.188,8.185,12.640,None,15.223,12.406,17.926,23.450,21.781,29.751,35.147
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,0.803,1.619,2.449,3.292,4.149,4.948,5.833,6.657,7.495,8.267,9.130,9.927,10.735,11.556,12.388,13.233,14.091,14.874,None,16.473,17.198,17.933,18.676,19.334,20.000,20.770
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.320,0.907,1.229,1.966,3.213,4.601,5.052,5.769,6.083,6.687,7.171,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,5.231,7.864,10.531,16.731,20.821,19.505,19.861,20.100,20.339,20.339,20.942,17.184,18.566,18.916,20.339,20.459,None,None,None,None,None,None,None,None,None,None
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),4.902,10.499,16.094,17.726,22.753,18.962,17.870,13.494,13.628,9.246,13.294,12.303,16.234,18.377,14.643,7.119,2.229,7.658,8.202,7.418,4.560,7.839,14.779,15.815,24.741,24.822
AEV,ALLBATROSS PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.398,8.577,10.029,13.609,15.547,13.386,17.912,13.274,11.953,13.947,17.192,13.722,16.717,16.364,14.855,12.062,5.980,10.769,16.481,16.012,15.547,22.163,29.148,15.895,None,None
IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),4.483,7.230,10.338,14.314,15.587,12.623,13.069,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.815,7.524,10.247,14.565,17.073,15.342,17.000,15.413,15.058,15.985,19.008,17.662,22.193,24.468,19.923,13.869,8.459,13.317,None,13.661,9.666,18.182,28.131,33.524,45.004,45.116
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),6.930,10.328,13.483,18.697,23.719,23.582,24.831,18.191,14.891,10.000,11.996,7.864,8.815,8.390,4.124,-4.307,-9.083,-2.544,5.208,7.969,2.680,21.156,23.582,14.891,None,None
KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.956,10.170,12.081,18.088,22.026,22.103,22.412,20.961,21.187,21.036,22.334,19.250,22.257,23.977,23.268,19.397,11.629,15.211,18.448,16.456,10.359,15.969,19.988,14.598,19.103,26.155
KST,ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.692,8.543,10.734,14.516,15.946,16.281,18.566,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PRU,ALLBATROSS PORTFÖY PARA PİYASASI SERBEST (TL) FON,0.787,1.498,2.309,3.041,3.877,4.632,5.398,6.175,6.964,7.664,8.475,9.194,9.924,10.769,11.520,12.281,13.052,13.834,14.513,15.315,16.012,16.836,17.551,18.275,19.008,19.626
PKF,ATA PORTFÖY ALTIN KATILIM FONU,3.849,1.273,2.580,3.564,4.785,4.858,8.549,8.160,8.862,11.185,12.761,14.556,13.268,14.210,16.320,19.636,24.465,22.646,21.365,22.348,22.348,21.953,19.352,21.463,21.855,21.365
TLZ,ATA ASSET ANALYSIS STOCK (TL) FUND (EQUITY-INTENSIVE FUND),4.765,7.199,9.440,14.045,17.025,8.945,7.882,6.067,6.400,5.973,6.619,4.907,8.000,8.227,5.725,-0.092,-2.980,-1.158,0.762,7.914,7.041,12.964,18.626,16.060,21.757,25.929
AED,ATA ASSET MANAGEMENT FIRST VARIABLE FUND,3.076,5.079,7.076,10.891,11.700,11.134,11.870,11.524,11.691,10.960,12.899,11.583,14.489,15.495,14.413,12.043,10.374,12.639,15.052,15.083,14.923,19.015,24.312,21.081,25.796,28.713
AAK,ATA ASSET MANAGEMENT MULTI-ASSET VARIABLE FUND,2.476,4.104,5.588,8.293,9.023,8.419,9.226,8.828,9.259,8.821,10.388,9.470,12.008,13.239,12.487,10.409,9.226,11.238,13.523,13.428,13.173,16.632,20.170,18.300,21.958,24.455
AUT,ATA PORTFOLİO BALANCED VARİABLE FUND,1.493,2.496,3.467,5.092,5.924,6.250,7.267,8.049,8.757,9.417,10.114,10.348,9.881,9.735,9.533,9.331,8.929,21.464,21.145,20.827,20.441,19.954,19.539,19.127,18.718,18.076
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,0.465,1.096,1.684,2.446,3.507,4.710,5.724,6.634,7.191,7.608,8.462,9.520,10.425,11.753,12.525,13.426,14.463,14.928,16.492,16.927,17.342,18.006,16.572,17.054,17.296,17.842
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,-0.032,2.777,0.397,1.459,2.048,3.129,3.466,4.855,4.786,5.151,5.678,6.568,7.509,8.226,8.953,9.823,10.765,11.096,12.638,12.939,13.568,13.731,12.278,12.358,12.458,13.081
AAV,ATA ASSET MANAGEMENT SECOND EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),5.557,7.789,11.330,16.958,19.455,15.981,16.719,14.144,14.056,12.430,14.434,12.957,15.548,16.567,14.505,8.703,3.140,8.008,12.645,12.668,12.615,19.570,26.158,24.397,33.569,38.471
AYA,ATA ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),6.256,8.285,11.105,15.856,17.355,13.874,15.300,13.274,14.609,14.033,15.246,12.400,15.747,17.198,16.363,10.854,6.413,10.354,13.483,13.420,9.037,15.463,23.435,18.113,24.552,31.479
